author_id_1,author_id_2,weight
https://openalex.org/A5002157362,https://openalex.org/A5092932421,1
https://openalex.org/A5002157362,https://openalex.org/A5114295075,1
https://openalex.org/A5002479079,https://openalex.org/A5093045696,1
https://openalex.org/A5002479079,https://openalex.org/A5102004033,3
https://openalex.org/A5002525083,https://openalex.org/A5043155729,1
https://openalex.org/A5002525083,https://openalex.org/A5066533684,1
https://openalex.org/A5002592929,https://openalex.org/A5059223174,3
https://openalex.org/A5002592929,https://openalex.org/A5063801367,2
https://openalex.org/A5002592929,https://openalex.org/A5078934409,5
https://openalex.org/A5002592929,https://openalex.org/A5109752187,1
https://openalex.org/A5002592929,https://openalex.org/A5110768672,1
https://openalex.org/A5002767641,https://openalex.org/A5079191166,1
https://openalex.org/A5002817441,https://openalex.org/A5004561882,1
https://openalex.org/A5002817441,https://openalex.org/A5024329977,1
https://openalex.org/A5003313372,https://openalex.org/A5007683358,1
https://openalex.org/A5003313372,https://openalex.org/A5019746332,1
https://openalex.org/A5003313372,https://openalex.org/A5019804454,1
https://openalex.org/A5003313372,https://openalex.org/A5022773897,1
https://openalex.org/A5003313372,https://openalex.org/A5023301167,2
https://openalex.org/A5003313372,https://openalex.org/A5028496204,1
https://openalex.org/A5003313372,https://openalex.org/A5028612850,1
https://openalex.org/A5003313372,https://openalex.org/A5029268482,1
https://openalex.org/A5003313372,https://openalex.org/A5031650084,1
https://openalex.org/A5003313372,https://openalex.org/A5035816874,1
https://openalex.org/A5003313372,https://openalex.org/A5050293303,1
https://openalex.org/A5003313372,https://openalex.org/A5051657599,1
https://openalex.org/A5003313372,https://openalex.org/A5052037569,1
https://openalex.org/A5003313372,https://openalex.org/A5056769433,1
https://openalex.org/A5003313372,https://openalex.org/A5058765335,1
https://openalex.org/A5003313372,https://openalex.org/A5061146101,1
https://openalex.org/A5003313372,https://openalex.org/A5063779850,1
https://openalex.org/A5003313372,https://openalex.org/A5067322923,1
https://openalex.org/A5003313372,https://openalex.org/A5069596316,1
https://openalex.org/A5003313372,https://openalex.org/A5073869040,1
https://openalex.org/A5003313372,https://openalex.org/A5079884758,1
https://openalex.org/A5003313372,https://openalex.org/A5092585408,1
https://openalex.org/A5003313372,https://openalex.org/A5093509442,1
https://openalex.org/A5003313372,https://openalex.org/A5101773482,1
https://openalex.org/A5003313372,https://openalex.org/A5113022324,1
https://openalex.org/A5003500208,https://openalex.org/A5037752946,1
https://openalex.org/A5003500208,https://openalex.org/A5056769433,1
https://openalex.org/A5003500208,https://openalex.org/A5082294586,1
https://openalex.org/A5003500208,https://openalex.org/A5092932421,1
https://openalex.org/A5003500208,https://openalex.org/A5092932422,1
https://openalex.org/A5003529654,https://openalex.org/A5005442910,4
https://openalex.org/A5003529654,https://openalex.org/A5037031804,2
https://openalex.org/A5003529654,https://openalex.org/A5039270416,2
https://openalex.org/A5003529654,https://openalex.org/A5051072292,2
https://openalex.org/A5003529654,https://openalex.org/A5061014073,2
https://openalex.org/A5003529654,https://openalex.org/A5076730877,2
https://openalex.org/A5003529654,https://openalex.org/A5087924932,2
https://openalex.org/A5003623969,https://openalex.org/A5014423696,1
https://openalex.org/A5003623969,https://openalex.org/A5050571686,1
https://openalex.org/A5003623969,https://openalex.org/A5108635425,1
https://openalex.org/A5003843190,https://openalex.org/A5018124581,1
https://openalex.org/A5003843190,https://openalex.org/A5020689109,1
https://openalex.org/A5003843190,https://openalex.org/A5065608207,1
https://openalex.org/A5003843190,https://openalex.org/A5069151984,1
https://openalex.org/A5003843190,https://openalex.org/A5085453319,2
https://openalex.org/A5003937293,https://openalex.org/A5053875563,2
https://openalex.org/A5004282358,https://openalex.org/A5008942195,3
https://openalex.org/A5004282358,https://openalex.org/A5025241450,3
https://openalex.org/A5004282358,https://openalex.org/A5033951003,1
https://openalex.org/A5004299448,https://openalex.org/A5073732963,1
https://openalex.org/A5004470031,https://openalex.org/A5067495229,2
https://openalex.org/A5004481882,https://openalex.org/A5054032260,1
https://openalex.org/A5004508090,https://openalex.org/A5056662160,2
https://openalex.org/A5004527514,https://openalex.org/A5066973790,1
https://openalex.org/A5004561882,https://openalex.org/A5008643091,1
https://openalex.org/A5004782588,https://openalex.org/A5020612881,1
https://openalex.org/A5004782588,https://openalex.org/A5056811592,1
https://openalex.org/A5004782588,https://openalex.org/A5086606169,5
https://openalex.org/A5004908220,https://openalex.org/A5051690784,3
https://openalex.org/A5004908220,https://openalex.org/A5055850531,2
https://openalex.org/A5004908220,https://openalex.org/A5111673029,2
https://openalex.org/A5005005203,https://openalex.org/A5013786278,1
https://openalex.org/A5005035504,https://openalex.org/A5056769433,4
https://openalex.org/A5005035504,https://openalex.org/A5062361482,1
https://openalex.org/A5005035504,https://openalex.org/A5063428555,1
https://openalex.org/A5005035504,https://openalex.org/A5075234713,1
https://openalex.org/A5005035504,https://openalex.org/A5082294586,1
https://openalex.org/A5005035504,https://openalex.org/A5112303674,2
https://openalex.org/A5005086854,https://openalex.org/A5007012217,1
https://openalex.org/A5005086854,https://openalex.org/A5008258666,2
https://openalex.org/A5005086854,https://openalex.org/A5033022743,1
https://openalex.org/A5005144256,https://openalex.org/A5045970678,1
https://openalex.org/A5005208408,https://openalex.org/A5007352298,1
https://openalex.org/A5005208408,https://openalex.org/A5016221302,1
https://openalex.org/A5005208408,https://openalex.org/A5030319986,1
https://openalex.org/A5005208408,https://openalex.org/A5047733534,1
https://openalex.org/A5005208408,https://openalex.org/A5065223965,1
https://openalex.org/A5005208408,https://openalex.org/A5071035630,1
https://openalex.org/A5005208408,https://openalex.org/A5071406761,1
https://openalex.org/A5005208408,https://openalex.org/A5072751038,1
https://openalex.org/A5005227755,https://openalex.org/A5047005401,2
https://openalex.org/A5005327758,https://openalex.org/A5010332312,1
https://openalex.org/A5005327758,https://openalex.org/A5011110306,1
https://openalex.org/A5005327758,https://openalex.org/A5023622755,1
https://openalex.org/A5005327758,https://openalex.org/A5025167737,1
https://openalex.org/A5005327758,https://openalex.org/A5028496204,1
https://openalex.org/A5005327758,https://openalex.org/A5032251517,1
https://openalex.org/A5005327758,https://openalex.org/A5055892702,1
https://openalex.org/A5005327758,https://openalex.org/A5086425290,1
https://openalex.org/A5005327758,https://openalex.org/A5093130144,1
https://openalex.org/A5005327758,https://openalex.org/A5093928936,1
https://openalex.org/A5005406915,https://openalex.org/A5046362429,1
https://openalex.org/A5005406915,https://openalex.org/A5048653799,1
https://openalex.org/A5005406915,https://openalex.org/A5056769433,1
https://openalex.org/A5005406915,https://openalex.org/A5064101767,1
https://openalex.org/A5005406915,https://openalex.org/A5079766432,1
https://openalex.org/A5005406915,https://openalex.org/A5099295752,1
https://openalex.org/A5005442910,https://openalex.org/A5011281184,2
https://openalex.org/A5005442910,https://openalex.org/A5012577568,1
https://openalex.org/A5005442910,https://openalex.org/A5014420541,4
https://openalex.org/A5005442910,https://openalex.org/A5015117836,4
https://openalex.org/A5005442910,https://openalex.org/A5017422174,1
https://openalex.org/A5005442910,https://openalex.org/A5019531234,1
https://openalex.org/A5005442910,https://openalex.org/A5020915544,2
https://openalex.org/A5005442910,https://openalex.org/A5023147101,3
https://openalex.org/A5005442910,https://openalex.org/A5024066420,1
https://openalex.org/A5005442910,https://openalex.org/A5025463564,1
https://openalex.org/A5005442910,https://openalex.org/A5031012347,4
https://openalex.org/A5005442910,https://openalex.org/A5031396438,2
https://openalex.org/A5005442910,https://openalex.org/A5035264951,1
https://openalex.org/A5005442910,https://openalex.org/A5035779224,2
https://openalex.org/A5005442910,https://openalex.org/A5035816119,2
https://openalex.org/A5005442910,https://openalex.org/A5037031804,2
https://openalex.org/A5005442910,https://openalex.org/A5038908169,1
https://openalex.org/A5005442910,https://openalex.org/A5039270416,4
https://openalex.org/A5005442910,https://openalex.org/A5041791430,4
https://openalex.org/A5005442910,https://openalex.org/A5042365548,2
https://openalex.org/A5005442910,https://openalex.org/A5042955545,1
https://openalex.org/A5005442910,https://openalex.org/A5046702972,2
https://openalex.org/A5005442910,https://openalex.org/A5051072292,4
https://openalex.org/A5005442910,https://openalex.org/A5055325602,1
https://openalex.org/A5005442910,https://openalex.org/A5057402549,1
https://openalex.org/A5005442910,https://openalex.org/A5059887002,2
https://openalex.org/A5005442910,https://openalex.org/A5061014073,7
https://openalex.org/A5005442910,https://openalex.org/A5063057843,2
https://openalex.org/A5005442910,https://openalex.org/A5066088297,2
https://openalex.org/A5005442910,https://openalex.org/A5071141709,2
https://openalex.org/A5005442910,https://openalex.org/A5076044489,2
https://openalex.org/A5005442910,https://openalex.org/A5076298533,3
https://openalex.org/A5005442910,https://openalex.org/A5076730877,4
https://openalex.org/A5005442910,https://openalex.org/A5078865475,4
https://openalex.org/A5005442910,https://openalex.org/A5080359028,1
https://openalex.org/A5005442910,https://openalex.org/A5080437441,1
https://openalex.org/A5005442910,https://openalex.org/A5085440736,4
https://openalex.org/A5005442910,https://openalex.org/A5086405997,1
https://openalex.org/A5005442910,https://openalex.org/A5087924932,2
https://openalex.org/A5005442910,https://openalex.org/A5091206098,1
https://openalex.org/A5005442910,https://openalex.org/A5092807227,1
https://openalex.org/A5005442910,https://openalex.org/A5097398018,1
https://openalex.org/A5005442910,https://openalex.org/A5108978721,1
https://openalex.org/A5005442910,https://openalex.org/A5111311786,1
https://openalex.org/A5005442910,https://openalex.org/A5116570791,2
https://openalex.org/A5005520660,https://openalex.org/A5075373845,1
https://openalex.org/A5005562169,https://openalex.org/A5018644793,1
https://openalex.org/A5005562169,https://openalex.org/A5079191166,1
https://openalex.org/A5005705912,https://openalex.org/A5043554069,1
https://openalex.org/A5005705912,https://openalex.org/A5049187985,1
