Fascia,Cognome e Nome,Genere,Facoltà,GSD 2024,SSD 2024,SSD 2015,SC 2015,Struttura di afferenza
Ricercatore a t.d. - t.pieno (L. 79/2022),FELICETTI Raffaele,M,,12/GIUR-02,GIUR-02/A,IUS/04,12/B1,GIURISPRUDENZA
Associato confermato,FERNANDES DA SILVA RANCHORDAS Sofia Hina,F,,12/GIUR-06,GIUR-06/A,IUS/09,12/D1,GIURISPRUDENZA
Ordinario,FINOCCHI Irene,F,,01/INFO-01,INFO-01/A,INF/01,01/B1,"AI, DATA AND DECISION SCIENCES"
Ordinario,FIORI Giovanni,M,,13/ECON-06,ECON-06/A,SECS-P/07,13/B1,Accounting and Corporate Finance
Associato,FORLENZA Rosario,M,,11/HIST-03,HIST-03/A,M-STO/04,11/A3,SCIENZE POLITICHE
Ordinario,GALLO Daniele,M,,12/GIUR-10,GIUR-10/A,IUS/14,12/E4,GIURISPRUDENZA
Ordinario,GEIGER Christophe,M,,12/GIUR-02,GIUR-02/A,IUS/04,12/B1,GIURISPRUDENZA
Associato,GENTILE Valentina,F,,14/GSPS-01,GSPS-01/A,SPS/01,14/A1,SCIENZE POLITICHE
Ordinario,GIUSTINIANO Luca,M,,13/ECON-08,ECON-08/A,SECS-P/10,13/B3,BUSINESS AND MANAGEMENT
Ricercatore a t.d. - t.pieno (L. 79/2022),GOLIA Angelo Junior,M,,12/GIUR-05,GIUR-05/A,IUS/08,12/C1,GIURISPRUDENZA
Ordinario,GOZZI Fausto,M,,13/STAT-04,STAT-04/A,SECS-S/06,13/D4,"AI, DATA AND DECISION SCIENCES"
Ordinario,GULLO Antonino,M,,12/GIUR-14,GIUR-14/A,IUS/17,12/G1,GIURISPRUDENZA
Ordinario,HOMBERG Fabian Kurt Falk,M,,13/ECON-08,ECON-08/A,SECS-P/10,13/B3,BUSINESS AND MANAGEMENT
Ricercatore a t.d. - t.pieno (L. 79/2022),IACOPINI Matteo,M,,13/STAT-01,STAT-01/A,SECS-S/01,13/D1,"AI, DATA AND DECISION SCIENCES"
Ordinario,IAIONE Fernando Christian,M,,12/GIUR-06,GIUR-06/A,IUS/09,12/C1,GIURISPRUDENZA
Ordinario,ITALIANO Giuseppe Francesco,M,,09/IINF-05,IINF-05/A,ING-INF/05,09/H1,"AI, DATA AND DECISION SCIENCES"
Ordinario,JOPPKE Christian Georg Maximilian,M,,14/GSPS-05,GSPS-05/A,SPS/07,14/C1,SCIENZE POLITICHE
Ordinario,LARUELLE Marlene Agnes,F,,14/GSPS-04,GSPS-04/D,SPS/14,14/B2,SCIENZE POLITICHE
